- Heads:
asczHead_taurus_A3 - Taurusky
asczHead_troska_A3 - Troska
asczHead_austin_A3 - Austin
asczHead_obacki_A3 - O'Backi
asczHead_sokolov_A3 - Sokolov
asczHead_price_A3 - Price
asczHead_mctavish_A3 - MacTavish
asczHead_spanel_A3 - Spanel
asczHead_voodoo_A3 - Voodoo
asczHead_beardy_A3 - Beardy
asczHead_redfield_A3 - Redfield
asczHead_foley_A3 - Foley
asczHead_murphy_A3 - Murphy
asczHead_josephe_A3 - Josephe
asczHead_pernet_A3 - Pernet
asczHead_nevim_A3 - Nevim
asczHead_novotny_A3 - Novotny
asczHead_brown_A3 - Brown
asczHead_picleson_A3 - Picleson
asczHead_olson_A3 - Olson
